TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG,RENDIMIENTO
23.133,28.49,3.598,27.606,0.385,1.4
23.707,30.36,0.9,30.088,0.491,1.2
24.94,32.494,1.779,30.264,0.442,1.4
23.542,32.559,1.323,29.094,0.461,1.3
17.833,23.291,5.53,19.898,0.279,2.7
17.094,22.024,7.734,18.7,0.252,3.0
17.091,21.197,8.51,18.201,0.249,2.7
16.735,21.018,7.99,17.904,0.245,2.86
16.45,20.981,7.08,18.085,0.243,2.83
16.778,21.199,7.204,18.513,0.253,2.65
17.385,22.724,4.794,19.12,0.332,2.66
17.514,23.291,4.612,20.111,0.297,1.5
16.385,21.057,8.845,18.576,0.209,1.5
16.416,21.222,13.634,18.133,0.162,1.5
16.51,21.844,8.931,18.166,0.236,1.5
16.553,21.82,8.877,18.805,0.194,2.44
16.925,22.939,5.619,18.132,0.28,2.4
16.981,22.307,7.041,19.158,0.206,1.5
16.706,22.17,7.601,18.496,0.229,1.5
16.667,22.045,8.446,18.748,0.17,1.1
16.79,22.681,5.494,19.82,0.273,1.1
16.858,22.858,5.082,18.929,0.256,1.5
17.542,23.419,3.198,18.257,0.283,1.5
17.938,23.508,7.128,19.222,0.273,1.5
16.199,21.174,8.072,17.97,0.218,1.5
16.092,20.679,10.742,19.293,0.196,2.0
16.75,21.069,11.136,18.424,0.222,2.0
20.324,24.774,7.226,22.64,0.414,1.21
18.44,23.574,7.188,22.229,0.359,1.0
18.422,22.921,7.631,22.008,0.304,0.82
18.994,23.503,11.594,23.177,0.333,0.8
18.704,22.565,6.759,21.845,0.182,0.8
19.333,23.583,6.886,22.575,0.41,1.0
19.862,24.108,1.454,22.166,0.385,0.7
18.388,22.87,9.701,21.242,0.253,0.7
18.838,23.124,13.262,20.629,0.284,0.7
18.637,23.763,4.538,20.958,0.336,0.7
18.69,22.69,3.31,21.656,0.314,1.0
18.81,23.354,9.607,21.954,0.367,0.7
19.094,24.351,6.994,22.336,0.383,0.7
19.902,25.101,5.147,21.995,0.434,0.7
19.941,24.636,8.243,23.103,0.335,0.92
19.266,24.377,7.563,21.565,0.39,1.03
18.945,23.58,9.693,21.6,0.325,1.75
19.358,24.684,7.596,21.504,0.437,1.75
19.011,24.196,11.345,21.654,0.343,1.28
19.541,24.311,6.967,21.608,0.428,1.3
19.45,24.026,8.517,22.213,0.306,1.3
19.34,24.751,6.435,21.811,0.42,1.34
23.947,29.771,9.269,27.122,0.387,2.5
24.345,31.426,6.345,25.687,0.381,2.01
23.199,28.878,7.352,26.813,0.333,2.5
23.79,30.75,5.877,26.346,0.33,2.5
23.31,28.778,10.272,26.857,0.36,2.5
23.857,30.203,6.477,26.641,0.32,2.5
23.685,29.794,8.136,26.972,0.395,2.5
24.512,31.588,7.887,26.957,0.395,2.5
23.313,29.124,11.327,27.126,0.327,2.5
23.692,30.098,6.944,26.437,0.334,2.5
23.336,29.286,7.783,26.656,0.357,2.5
24.151,30.517,8.1,26.894,0.338,2.5
24.217,31.228,7.236,25.73,0.365,2.5
24.06,30.413,5.933,28.106,0.333,2.5
24.653,31.47,8.007,26.584,0.338,1.4
24.104,30.245,8.612,27.075,0.377,1.22
23.9,30.136,7.873,26.556,0.315,1.44
23.446,29.347,10.022,26.854,0.373,1.44
24.464,31.089,5.668,26.789,0.305,1.44
23.53,29.08,7.908,26.883,0.334,1.44
26.353,30.497,1.59,31.07,0.439,1.12
26.225,30.149,6.021,31.689,0.436,1.75
25.635,29.178,0.559,29.009,0.405,1.5
26.353,29.589,3.241,30.366,0.456,0.97
25.794,28.89,0.039,28.938,0.494,1.5
26.945,30.399,1.897,31.954,0.485,1.83
26.681,29.847,1.343,30.634,0.434,1.2
26.511,29.645,6.005,31.393,0.354,1.35
25.961,29.222,0.667,29.096,0.497,1.2
26.385,29.547,5.346,30.778,0.379,1.5
26.654,29.866,0.834,30.818,0.422,1.2
27.31,30.75,0.367,31.82,0.48,1.46
27.08,30.56,22.58,30.645,0.263,1.2
26.985,30.396,3.114,31.479,0.474,1.23
25.992,29.301,0.139,28.818,0.459,1.35
23.837,29.23,10.649,26.567,0.306,1.3
24.707,31.899,7.732,31.516,0.347,1.3
15.745,20.793,5.055,16.772,0.313,1.07
15.37,20.462,5.943,16.935,0.244,3.05
14.919,19.553,7.35,16.194,0.241,3.13
14.607,18.797,8.331,16.213,0.191,1.4
15.365,20.445,6.117,17.173,0.247,1.2
15.139,20.283,6.301,16.769,0.256,1.2
14.931,21.109,4.134,17.103,0.261,2.2
15.727,22.734,2.225,17.844,0.354,1.5
15.056,21.339,4.6,17.776,0.239,1.5
14.454,20.82,5.543,17.045,0.248,1.5
15.033,21.597,6.54,17.223,0.311,1.5
15.329,21.226,3.165,17.318,0.298,1.5
14.952,20.768,7.52,16.824,0.257,1.5
15.7,21.075,7.211,17.813,0.187,1.5
15.255,22.179,3.495,16.881,0.368,1.5
24.692,30.233,9.789,30.779,0.177,0.9
23.547,29.478,11.566,29.021,0.191,1.0
23.37,29.604,10.691,28.207,0.172,1.0
23.929,28.994,20.472,30.327,0.135,0.9
24.184,29.89,20.107,30.342,0.155,1.1
24.172,28.817,12.337,29.875,0.152,1.1
23.836,27.909,23.057,29.814,0.191,1.1
23.822,28.62,10.977,29.678,0.237,1.2
23.88,28.163,22.576,29.71,0.219,1.3
23.911,28.413,7.918,29.589,0.189,1.3
23.908,27.882,17.95,29.737,0.214,1.35
23.938,28.456,5.6,29.309,0.182,1.35
23.961,27.88,16.427,29.449,0.177,1.35
24.011,28.384,3.041,28.504,0.156,1.4
24.512,29.522,11.025,30.136,0.208,1.4
23.377,27.58,8.716,28.091,0.111,1.6
23.455,29.249,6.789,28.991,0.251,1.4
23.563,29.691,15.224,29.048,0.221,1.4
23.649,28.395,2.346,28.392,0.121,2.5
23.732,29.008,9.408,29.382,0.138,1.4
23.577,28.379,4.315,28.743,0.116,1.4
23.979,28.967,15.895,29.946,0.112,2.5
24.103,29.146,6.545,29.8,0.185,0.88
24.199,30.039,12.079,30.281,0.212,2.5
24.567,30.096,8.994,30.933,0.23,2.5
24.751,29.828,17.54,31.117,0.16,2.5
24.01,28.089,8.48,29.329,0.124,2.5
23.88,29.794,11.112,30.046,0.237,0.5
23.934,28.582,8.98,29.551,0.139,2.5
23.862,28.942,12.959,29.892,0.161,1.0
24.46,29.575,10.917,30.69,0.194,1.01
8.668,16.564,4.845,12.233,0.293,1.2
9.493,16.963,4.758,12.037,0.366,1.2
9.668,17.12,3.719,12.645,0.301,1.2
9.743,17.87,3.671,12.077,0.493,1.2
10.15,17.586,2.707,12.93,0.261,1.2
16.703,22.338,2.403,19.282,0.364,1.4
17.131,21.69,4.169,19.465,0.34,1.4
15.919,20.261,3.075,18.257,0.297,1.2
17.149,21.287,6.273,19.058,0.307,1.2
16.587,20.403,2.991,18.05,0.237,1.2
16.785,22.502,3.055,18.111,0.361,1.2
17.126,23.527,2.127,19.025,0.375,1.2
17.355,21.398,6.748,18.697,0.283,1.4
16.235,20.417,6.987,17.947,0.223,1.2
17.019,21.653,5.735,18.535,0.287,1.2
17.17,22.752,3.768,17.534,0.273,1.2
16.83,22.186,3.016,18.271,0.334,1.2
16.451,22.785,1.984,18.459,0.325,1.2
17.473,23.02,1.868,17.728,0.34,1.2
16.719,22.25,1.978,17.618,0.313,1.2
17.928,22.928,2.456,18.685,0.331,1.2
17.511,22.732,2.17,18.69,0.327,1.2
17.756,22.329,3.737,18.276,0.33,1.2
16.832,21.291,3.081,18.08,0.292,1.2
17.79,22.046,3.857,18.717,0.324,1.2
25.569,32.526,3.777,29.232,0.514,2.0
25.3,33.286,0.08,25.834,0.568,1.5
24.029,31.093,1.576,28.01,0.526,2.0
24.247,31.979,0.349,25.072,0.564,2.0
9.392,17.327,1.61,11.88,0.328,1.63
8.071,17.388,1.424,11.733,0.357,1.29
9.026,16.142,2.178,11.915,0.312,1.81
8.815,16.57,2.397,11.927,0.329,1.82
8.924,16.41,2.544,12.5,0.285,1.41
8.402,16.198,2.313,12.096,0.296,1.78
8.659,16.929,1.756,10.991,0.365,1.83
8.669,17.896,2.15,11.736,0.34,1.77
9.169,15.344,2.636,12.243,0.274,1.42
8.203,15.588,3.495,12.276,0.304,0.46
8.756,15.938,2.145,12.531,0.294,0.53
6.921,15.474,1.145,11.423,0.386,0.43
23.969,31.788,4.858,28.591,0.412,1.6
23.829,30.983,7.252,28.175,0.388,1.64
23.672,30.918,4.456,27.178,0.381,1.7
23.444,30.522,7.142,27.987,0.407,1.19
23.529,30.518,4.91,27.503,0.366,1.36
23.684,30.908,5.79,27.843,0.357,1.5
18.759,25.141,3.422,20.137,0.382,1.0
17.144,24.556,1.294,19.191,0.386,1.0
18.125,24.819,3.397,20.604,0.382,1.0
17.847,24.079,2.217,19.844,0.381,1.5
18.553,26.239,2.588,20.945,0.427,1.5
18.437,26.659,2.246,21.177,0.433,1.5
18.738,24.776,5.072,21.857,0.346,1.5
17.61,24.022,3.27,19.645,0.348,1.5
18.23,24.866,2.809,20.164,0.354,1.2
17.597,23.998,1.627,19.003,0.389,1.5
18.084,25.5,2.96,20.342,0.422,1.5
18.031,24.94,1.451,20.175,0.37,1.5
18.55,26.245,2.738,20.821,0.435,1.5
18.046,25.455,2.363,22.136,0.424,1.5
19.259,28.157,0.096,19.975,0.553,1.5
17.722,26.044,0.972,21.14,0.434,1.5
18.951,26.618,2.066,21.466,0.378,1.5
18.54,25.944,2.524,21.348,0.393,1.5
17.733,24.983,2.682,20.565,0.383,1.5
17.81,24.835,3.224,20.817,0.346,1.5
17.961,25.845,2.979,21.186,0.447,1.5
18.176,25.522,2.157,20.574,0.394,1.5
18.498,26.379,2.318,20.985,0.43,1.5
23.17,31.02,7.91,26.489,0.362,1.0
22.676,29.353,9.368,26.577,0.216,1.0
22.696,28.789,7.366,26.402,0.303,1.0
23.21,29.483,9.44,27.635,0.278,1.0
22.789,28.43,11.188,26.807,0.272,1.0
12.375,17.287,7.418,15.662,0.114,1.05
12.213,17.251,5.251,15.675,0.111,1.05
12.857,17.427,4.235,15.673,0.105,1.05
13.329,18.652,4.27,16.394,0.182,1.1
13.474,17.418,5.835,15.681,0.086,1.1
12.879,17.504,9.702,15.447,0.121,2.5
13.482,17.706,6.154,15.474,0.122,2.5
12.867,17.533,5.322,15.718,0.118,1.1
13.681,18.258,2.91,15.519,0.145,1.0
12.95,18.308,5.246,16.077,0.175,0.9
13.593,18.509,3.04,16.043,0.218,0.9
13.237,18.113,4.77,16.287,0.146,1.27
13.928,18.667,2.695,15.686,0.211,1.27
13.577,18.553,3.669,16.199,0.211,0.5
14.918,19.625,1.876,15.538,0.245,0.9
14.124,18.338,3.68,15.958,0.211,2.5
19.683,23.179,9.936,23.317,0.133,0.75
19.301,23.197,12.148,22.98,0.215,0.8
19.198,23.42,12.373,22.799,0.185,0.8
19.46,23.528,9.087,23.213,0.217,0.8
19.543,23.125,13.875,23.052,0.151,0.8
20.158,23.952,14.066,24.159,0.171,0.8
20.485,24.254,6.805,24.254,0.173,0.6
19.095,22.894,17.872,22.77,0.18,0.4
19.056,22.974,13.745,22.341,0.161,0.5
19.217,23.172,16.611,22.425,0.204,0.5
19.299,23.017,11.385,22.694,0.142,0.56
19.496,23.436,9.327,23.681,0.199,0.9
19.226,23.058,15.229,23.012,0.188,0.4
19.378,23.031,9.551,23.492,0.213,0.4
19.512,22.126,10.791,23.291,0.087,0.4
20.723,24.188,7.125,23.899,0.232,0.4
20.851,23.334,7.569,24.411,0.025,0.4
20.425,23.15,13.411,23.383,0.151,0.4
20.811,23.457,12.256,23.464,0.121,1.48
19.635,23.104,13.767,22.83,0.136,0.4
20.227,23.304,10.193,23.589,0.079,0.41
20.174,23.62,10.541,23.334,0.192,0.42
23.819,29.237,8.488,25.842,0.3,1.3
24.685,31.534,7.177,23.558,0.354,1.36
23.73,29.255,6.843,25.342,0.327,1.4
24.365,30.743,5.089,23.04,0.26,1.4
23.333,28.712,12.758,25.019,0.273,1.4
24.404,29.954,7.166,24.3,0.297,1.4
24.809,31.5,7.828,25.508,0.357,1.58
23.785,29.39,12.726,26.515,0.292,1.56
24.11,29.808,7.269,25.573,0.286,1.9
23.846,29.351,9.185,25.936,0.331,1.6
23.81,29.863,10.133,24.853,0.313,1.9
23.622,29.492,10.307,25.745,0.321,1.9
23.888,30.45,7.616,25.465,0.285,1.8
24.411,31.354,5.566,25.358,0.345,1.8
24.156,31.414,2.722,26.118,0.394,1.9
24.004,30.449,8.184,27.079,0.335,1.75
21.706,28.263,15.912,25.007,0.212,1.2
22.122,28.796,12.955,25.457,0.188,1.2
21.346,28.692,16.105,24.468,0.186,1.2
21.863,28.739,12.682,27.28,0.145,1.2
21.559,28.329,11.068,26.519,0.176,1.22
21.902,28.476,19.206,27.446,0.136,1.2
22.042,28.762,16.443,27.588,0.236,1.3
22.53,28.64,14.092,27.213,0.18,0.6
21.643,28.67,12.031,25.24,0.199,0.6
21.901,28.148,12.669,26.023,0.158,0.6
21.295,27.111,15.249,25.239,0.138,0.6
22.48,29.06,16.62,25.988,0.214,0.6
21.971,28.424,22.153,25.32,0.134,1.3
22.225,29.55,12.982,25.169,0.215,1.3
21.964,28.132,26.108,26.321,0.089,0.98
22.106,27.24,14.599,25.782,0.203,0.98
22.358,27.067,17.338,26.341,0.164,1.0
22.455,30.375,9.713,25.731,0.314,1.0
23.65,31.532,12.118,26.539,0.374,1.2
21.366,28.07,16.339,25.658,0.178,1.6
22.142,28.428,19.073,26.503,0.189,1.2
21.784,28.155,11.58,26.708,0.191,2.5
22.196,28.121,16.174,27.362,0.128,2.54
21.796,27.835,16.631,25.585,0.183,2.55
21.2,29.876,5.642,25.65,0.32,1.1
21.429,31.042,3.678,24.475,0.309,1.1
21.381,30.486,2.908,24.142,0.289,1.1
21.533,30.015,6.738,25.932,0.329,1.33
22.274,31.92,3.133,25.333,0.324,1.2
21.416,28.741,9.135,25.79,0.225,1.2
21.346,30.454,4.032,24.086,0.292,1.4
21.583,29.225,6.996,25.815,0.254,0.67
21.442,30.293,4.239,23.952,0.278,1.15
21.719,30.167,4.576,25.389,0.315,1.4
22.413,31.248,2.506,24.924,0.298,0.9
16.78,23.098,2.552,18.805,0.399,1.58
16.367,22.425,3.043,18.53,0.374,2.0
17.365,24.08,2.962,19.395,0.391,2.0
16.065,21.797,3.626,18.36,0.338,2.45
16.118,22.152,3.141,18.503,0.346,2.5
17.196,23.917,1.08,18.432,0.391,2.5
17.055,23.372,3.51,18.481,0.357,2.5
17.095,23.953,1.866,18.298,0.395,1.3
17.754,24.024,0.993,18.454,0.299,1.3
16.871,23.589,1.776,17.956,0.384,1.3
17.556,23.672,3.358,18.511,0.345,1.3
17.704,23.372,3.384,19.043,0.296,1.3
16.834,22.877,2.775,18.229,0.308,1.3
16.711,22.736,2.942,17.976,0.34,1.1
16.891,22.788,3.185,18.019,0.36,1.1
25.69,31.61,6.276,31.06,0.375,1.5
25.441,32.484,1.67,28.794,0.451,1.5
25.429,31.368,4.37,30.81,0.388,1.5
24.563,32.634,3.321,28.128,0.369,1.5
25.119,30.309,8.075,29.831,0.411,1.5
25.188,31.882,3.179,29.683,0.507,1.5
25.457,31.648,6.17,30.949,0.453,1.5
25.599,32.826,3.876,30.72,0.402,1.5
24.97,30.337,9.342,30.478,0.259,1.45
24.575,31.909,3.701,29.1,0.44,1.5
25.221,30.702,7.767,30.564,0.3,1.4
23.82,32.989,0.069,27.66,0.591,1.5
25.784,32.416,5.073,31.192,0.381,1.5
25.161,33.597,2.107,28.777,0.471,1.5
