TSSM_MIN,TSSM_MAX,TV,PTPM,BSHG
0.312,0.47,0.177,0.076,0.581
0.56,0.583,0.327,0.053,0.509
0.634,0.705,0.472,0.145,0.559
0.874,0.881,0.661,0.056,0.732
0.871,0.717,0.623,0.048,0.39
0.89,0.767,0.701,0.298,0.367
0.809,0.768,0.601,0.182,0.517
0.773,0.806,0.503,0.032,0.682
0.811,0.77,0.618,0.13,0.498
0.405,0.523,0.203,0.065,0.539
0.676,0.595,0.359,0.116,0.426
0.238,0.358,0.076,0.051,0.619
0.844,0.789,0.614,0.112,0.502
0.523,0.561,0.263,0.043,0.422
0.569,0.458,0.359,0.449,0.215
0.855,0.78,0.649,0.197,0.666
0.808,0.741,0.391,0.104,0.569
0.801,0.738,0.612,0.267,0.364
0.096,0.183,0.051,0.065,0.574
0.517,0.54,0.284,0.094,0.503
0.674,0.667,0.42,0.094,0.404
0.691,0.658,0.466,0.127,0.373
0.341,0.321,0.148,0.058,0.405
0.517,0.484,0.27,0.054,0.572
0.667,0.853,0.358,0.034,0.706
0.502,0.621,0.264,0.005,0.505
0.451,0.409,0.278,0.117,0.456
0.841,0.79,0.657,0.148,0.486
0.617,0.586,0.327,0.097,0.524
0.809,0.746,0.673,0.152,0.514
0.848,0.82,0.659,0.054,0.518
0.748,0.805,0.57,0.115,0.66
0.861,0.843,0.66,0.115,0.545
0.915,0.819,0.723,0.08,0.563
0.862,0.827,0.58,0.148,0.595
0.719,0.786,0.465,0.116,0.45
0.847,0.776,0.543,0.11,0.69
0.619,0.649,0.408,0.058,0.498
0.475,0.428,0.274,0.171,0.182
0.49,0.484,0.283,0.059,0.617
0.666,0.679,0.482,0.099,0.58
0.903,0.853,0.704,0.102,0.792
0.835,0.751,0.568,0.2,0.461
0.908,0.9,0.537,0.045,0.613
0.676,0.585,0.436,0.027,0.58
0.823,0.786,0.607,0.011,0.637
0.83,0.787,0.674,0.017,0.739
0.889,0.836,0.662,0.06,0.764
0.262,0.484,0.134,0.057,0.474
0.835,0.874,0.625,0.031,0.824
0.823,0.778,0.627,0.201,0.426
0.854,0.771,0.736,0.198,0.352
0.428,0.498,0.251,0.166,0.59
0.857,0.853,0.624,0.053,0.684
0.859,0.718,0.622,0.131,0.483
0.671,0.685,0.403,0.058,0.497
0.532,0.579,0.289,0.053,0.562
0.803,0.747,0.57,0.139,0.494
0.698,0.698,0.48,0.057,0.596
0.843,0.76,0.63,0.194,0.511
0.489,0.508,0.262,0.069,0.381
0.33,0.373,0.165,0.058,0.265
0.787,0.718,0.596,0.108,0.364
0.417,0.377,0.196,0.125,0.324
0.801,0.758,0.569,0.148,0.48
0.747,0.733,0.528,0.226,0.3
0.599,0.632,0.437,0.194,0.467
0.976,0.935,0.665,0.006,0.651
0.909,0.857,0.747,0.087,0.646
0.657,0.729,0.508,0.068,0.387
0.357,0.416,0.197,0.186,0.402
0.728,0.645,0.512,0.21,0.491
0.811,0.781,0.599,0.12,0.473
0.961,0.824,0.753,0.052,0.709
0.457,0.459,0.292,0.098,0.459
0.666,0.69,0.416,0.114,0.369
0.66,0.637,0.428,0.046,0.446
0.863,0.851,0.744,0.12,0.661
0.879,0.835,0.697,0.141,0.449
0.359,0.46,0.172,0.108,0.301
0.898,0.797,0.714,0.163,0.593
0.85,0.679,0.654,0.272,0.184
0.647,0.711,0.534,0.094,0.395
0.885,0.794,0.686,0.12,0.664
0.774,0.738,0.514,0.072,0.405
0.654,0.55,0.452,0.214,0.214
0.85,0.874,0.678,0.065,0.649
0.444,0.408,0.219,0.152,0.489
0.607,0.588,0.389,0.144,0.389
0.783,0.835,0.461,0.017,0.506
0.92,0.962,0.653,0.032,0.776
0.842,0.769,0.699,0.167,0.372
0.607,0.656,0.403,0.121,0.526
0.186,0.306,0.068,0.062,0.447
0.731,0.694,0.425,0.13,0.577
0.566,0.499,0.365,0.072,0.399
0.447,0.494,0.272,0.17,0.473
0.375,0.345,0.181,0.016,0.583
0.663,0.641,0.439,0.117,0.524
0.87,0.804,0.639,0.125,0.601
0.82,0.757,0.584,0.116,0.557
0.68,0.602,0.464,0.155,0.505
0.285,0.417,0.184,0.092,0.389
0.739,0.785,0.489,0.08,0.419
0.767,0.736,0.478,0.186,0.599
0.932,0.89,0.704,0.043,0.664
0.767,0.737,0.535,0.244,0.283
0.338,0.564,0.128,0.042,0.48
0.816,0.816,0.55,0.085,0.667
