TSSM_MAX,TSSM_MIN,TV,PTPM,BSHG
0.391,0.299,0.102,0.024,0.63
0.409,0.431,0.208,0.089,0.273
0.753,0.717,0.419,0.021,0.566
0.836,0.855,0.58,0.141,0.627
0.758,0.844,0.612,0.161,0.455
0.593,0.458,0.243,0.027,0.532
0.536,0.512,0.251,0.159,0.422
0.531,0.475,0.249,0.106,0.398
0.777,0.888,0.708,0.004,0.505
0.723,0.738,0.504,0.189,0.473
0.628,0.655,0.333,0.063,0.596
0.648,0.594,0.353,0.045,0.568
0.772,0.825,0.511,0.124,0.553
0.545,0.386,0.198,0.062,0.584
0.717,0.714,0.457,0.0,0.536
0.65,0.594,0.378,0.096,0.556
0.748,0.683,0.408,0.047,0.62
0.582,0.586,0.34,0.031,0.586
0.649,0.681,0.431,0.048,0.562
0.892,0.773,0.52,0.072,0.611
0.751,0.8,0.597,0.157,0.553
0.839,0.852,0.55,0.089,0.547
0.537,0.617,0.337,0.093,0.441
0.338,0.343,0.223,0.184,0.217
0.38,0.339,0.162,0.038,0.301
0.776,0.855,0.601,0.153,0.593
0.715,0.722,0.439,0.084,0.511
0.859,0.854,0.604,0.084,0.652
0.799,0.884,0.668,0.157,0.511
0.737,0.763,0.539,0.146,0.366
0.736,0.82,0.614,0.159,0.404
0.874,0.9,0.649,0.046,0.73
0.54,0.543,0.344,0.067,0.416
0.893,0.899,0.653,0.051,0.63
0.79,0.736,0.493,0.076,0.44
0.841,0.892,0.469,0.087,0.581
0.677,0.807,0.62,0.166,0.44
0.798,0.915,0.713,0.093,0.601
0.752,0.807,0.618,0.18,0.452
0.821,0.892,0.701,0.154,0.506
0.594,0.653,0.418,0.142,0.587
0.83,0.843,0.681,0.196,0.502
0.648,0.61,0.386,0.11,0.545
0.8,0.923,0.736,0.073,0.343
0.528,0.481,0.283,0.111,0.515
0.781,0.779,0.558,0.198,0.532
0.478,0.421,0.227,0.175,0.402
0.663,0.642,0.397,0.064,0.339
0.75,0.92,0.644,0.013,0.748
0.581,0.608,0.348,0.118,0.506
