TSSM_MIN,TSSM_MAX,PTPM,TV,BSHG
0.874,0.856,0.046,0.639,0.551
0.759,0.749,0.109,0.538,0.535
0.372,0.332,0.002,0.174,0.477
0.923,0.758,0.11,0.72,0.47
0.844,0.837,0.013,0.647,0.899
0.859,0.789,0.105,0.713,0.41
0.532,0.579,0.053,0.289,0.562
0.871,0.688,0.356,0.713,0.282
0.675,0.587,0.104,0.368,0.313
0.57,0.672,0.067,0.35,0.607
0.586,0.599,0.061,0.401,0.334
0.672,0.601,0.148,0.387,0.393
0.75,0.781,0.086,0.533,0.474
0.675,0.591,0.13,0.4,0.384
0.901,0.852,0.144,0.606,0.62
0.874,0.842,0.032,0.654,0.526
0.483,0.506,0.089,0.231,0.489
0.574,0.674,0.055,0.35,0.599
0.219,0.275,0.045,0.095,0.413
0.691,0.658,0.127,0.466,0.373
0.182,0.204,0.028,0.065,0.551
0.533,0.471,0.129,0.36,0.36
0.858,0.839,0.045,0.64,0.58
0.808,0.782,0.137,0.563,0.42
0.848,0.811,0.129,0.627,0.598
0.658,0.68,0.143,0.425,0.47
0.486,0.424,0.083,0.291,0.518
0.594,0.65,0.096,0.378,0.556
0.582,0.653,0.083,0.363,0.521
0.843,0.842,0.005,0.662,0.577
0.812,0.788,0.102,0.599,0.509
0.903,0.898,0.061,0.664,0.637
0.586,0.601,0.094,0.399,0.434
0.844,0.758,0.161,0.612,0.455
0.667,0.853,0.034,0.358,0.706
0.848,0.779,0.216,0.625,0.526
0.349,0.324,0.06,0.137,0.378
0.912,0.86,0.02,0.672,0.599
0.568,0.589,0.07,0.341,0.456
0.647,0.711,0.094,0.534,0.395
0.839,0.752,0.16,0.626,0.393
0.802,0.91,0.058,0.556,0.608
0.387,0.319,0.1,0.201,0.398
0.923,0.862,0.087,0.742,0.437
0.343,0.304,0.026,0.138,0.413
0.316,0.31,0.134,0.133,0.279
0.908,0.874,0.051,0.631,0.485
0.586,0.612,0.081,0.439,0.283
0.602,0.608,0.093,0.369,0.402
0.864,0.874,0.085,0.591,0.663
0.874,0.825,0.074,0.589,0.628
0.23,0.353,0.033,0.099,0.55
0.606,0.666,0.131,0.37,0.453
0.465,0.587,0.093,0.241,0.526
0.827,0.806,0.104,0.569,0.642
0.867,0.832,0.059,0.653,0.64
0.93,0.861,0.116,0.718,0.337
0.309,0.291,0.084,0.146,0.461
0.581,0.55,0.035,0.302,0.512
0.407,0.456,0.127,0.23,0.289
0.921,0.862,0.078,0.725,0.62
0.613,0.579,0.115,0.366,0.444
0.866,0.776,0.144,0.689,0.498
0.824,0.777,0.142,0.548,0.604
0.814,0.775,0.113,0.547,0.581
0.864,0.81,0.096,0.644,0.492
0.823,0.785,0.096,0.626,0.557
0.534,0.596,0.057,0.262,0.342
0.628,0.595,0.035,0.386,0.48
0.304,0.507,0.05,0.181,0.441
0.802,0.734,0.167,0.598,0.508
0.565,0.602,0.033,0.282,0.565
0.44,0.425,0.171,0.239,0.292
0.772,0.719,0.176,0.568,0.399
0.847,0.818,0.122,0.496,0.587
0.612,0.611,0.149,0.4,0.334
0.492,0.43,0.117,0.297,0.367
0.615,0.578,0.129,0.339,0.508
0.288,0.298,0.028,0.138,0.645
0.873,0.875,0.085,0.607,0.646
0.876,0.934,0.009,0.511,0.937
0.865,0.809,0.104,0.667,0.526
0.867,0.857,0.045,0.672,0.755
0.681,0.707,0.129,0.442,0.556
0.812,0.741,0.174,0.609,0.417
0.256,0.309,0.072,0.126,0.494
0.305,0.292,0.088,0.138,0.334
0.496,0.472,0.138,0.278,0.429
0.642,0.582,0.102,0.424,0.425
0.23,0.342,0.091,0.137,0.441
0.737,0.791,0.055,0.495,0.435
0.244,0.328,0.041,0.127,0.47
0.156,0.22,0.03,0.055,0.521
0.657,0.72,0.058,0.422,0.492
0.864,0.873,0.089,0.624,0.819
0.903,0.892,0.033,0.676,0.515
0.69,0.713,0.046,0.404,0.572
0.859,0.822,0.0,0.676,0.742
0.829,0.872,0.076,0.637,0.536
0.598,0.574,0.137,0.362,0.452
0.933,0.819,0.036,0.733,0.601
0.369,0.373,0.036,0.141,0.38
0.86,0.811,0.107,0.575,0.459
0.867,0.85,0.062,0.62,0.721
1.0,0.948,0.03,0.693,0.694
0.869,0.82,0.116,0.571,0.416
0.909,0.916,0.019,0.499,0.889
0.496,0.492,0.06,0.29,0.449
0.652,0.751,0.077,0.399,0.497
0.665,0.713,0.083,0.438,0.559
0.918,0.889,0.094,0.713,0.509
0.33,0.373,0.058,0.165,0.265
0.822,0.812,0.062,0.531,0.703
0.856,0.859,0.099,0.595,0.512
0.69,0.693,0.086,0.474,0.646
0.516,0.547,0.085,0.249,0.437
0.489,0.48,0.12,0.269,0.414
0.441,0.453,0.131,0.279,0.333
0.436,0.415,0.13,0.264,0.265
0.48,0.488,0.078,0.283,0.393
0.787,0.739,0.239,0.566,0.554
0.411,0.38,0.073,0.193,0.357
0.298,0.378,0.046,0.105,0.515
0.601,0.594,0.092,0.383,0.437
0.585,0.592,0.088,0.334,0.333
0.914,0.833,0.036,0.704,0.601
0.668,0.685,0.141,0.434,0.479
0.339,0.393,0.225,0.216,0.392
0.851,0.84,0.007,0.523,0.849
0.638,0.701,0.037,0.338,0.431
0.769,0.715,0.304,0.592,0.193
0.851,0.746,0.153,0.643,0.333
0.409,0.403,0.043,0.158,0.423
0.83,0.787,0.017,0.674,0.739
0.822,0.773,0.136,0.523,0.44
0.703,0.673,0.134,0.465,0.608
0.82,0.757,0.116,0.584,0.557
0.159,0.197,0.031,0.083,0.315
0.699,0.722,0.062,0.428,0.553
0.852,0.802,0.207,0.678,0.622
0.695,0.683,0.125,0.496,0.541
0.846,0.824,0.069,0.545,0.655
0.508,0.536,0.069,0.264,0.36
0.317,0.31,0.077,0.16,0.245
0.793,0.752,0.129,0.649,0.447
0.381,0.312,0.081,0.202,0.396
0.069,0.172,0.011,0.018,0.551
0.31,0.529,0.047,0.195,0.453
0.898,0.811,0.099,0.694,0.771
0.816,0.771,0.205,0.57,0.521
0.848,0.774,0.263,0.668,0.426
0.672,0.667,0.079,0.49,0.542
0.533,0.549,0.062,0.278,0.557
0.792,0.774,0.109,0.583,0.495
0.846,0.765,0.126,0.573,0.601
0.593,0.683,0.029,0.352,0.426
0.852,0.792,0.113,0.665,0.589
0.829,0.832,0.119,0.616,0.631
0.522,0.497,0.089,0.318,0.45
0.249,0.264,0.098,0.13,0.383
0.522,0.543,0.055,0.285,0.599
0.811,0.783,0.157,0.617,0.526
0.506,0.471,0.101,0.254,0.455
0.738,0.735,0.172,0.545,0.339
0.823,0.759,0.218,0.642,0.288
0.896,0.89,0.072,0.66,0.703
0.739,0.785,0.08,0.489,0.419
0.831,0.744,0.177,0.653,0.208
0.573,0.485,0.106,0.315,0.369
0.805,0.787,0.132,0.475,0.44
0.633,0.567,0.055,0.402,0.393
0.263,0.444,0.037,0.145,0.533
0.691,0.671,0.115,0.45,0.625
0.85,0.851,0.051,0.531,0.756
0.329,0.32,0.057,0.136,0.27
0.254,0.285,0.06,0.006,0.17
0.878,0.906,0.049,0.547,0.922
0.308,0.483,0.065,0.201,0.608
0.365,0.351,0.145,0.234,0.309
0.594,0.603,0.072,0.355,0.458
0.589,0.649,0.219,0.436,0.548
0.88,0.921,0.041,0.642,0.521
0.591,0.719,0.152,0.41,0.605
0.596,0.478,0.155,0.289,0.372
0.852,0.711,0.363,0.694,0.312
0.414,0.49,0.068,0.196,0.348
0.885,0.808,0.063,0.687,0.654
0.439,0.467,0.058,0.263,0.152
0.838,0.813,0.128,0.535,0.453
0.812,0.764,0.139,0.623,0.488
0.734,0.695,0.094,0.496,0.464
0.767,0.725,0.359,0.566,0.285
